"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Soriano, José",667755,"LAA","SI","Sinker",0.6,5,"850",50.2,"260","0.289","0.342","0.333",18,9.2,16.2,"0.296","0.421","0.359",54.4
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.4,4,"984",57.6,"253","0.207","0.378","0.312",22.7,22.1,18.4,"0.261","0.485","0.366",42.1
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",-0.1,0,"853",54.4,"246","0.249","0.407","0.338",11.2,9.3,11.6,"0.303","0.531","0.396",55.5
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.1,1,"917",53.6,"242","0.258","0.46","0.35",18.4,19,16.7,"0.275","0.504","0.371",44
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",0.9,8,"890",52.1,"240","0.193","0.335","0.282",24.1,29.6,25.5,"0.19","0.339","0.273",40.3
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-0.6,-5,"821",52.5,"232","0.34","0.457","0.408",11.3,7.3,8.5,"0.332","0.483","0.402",47.3
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",2,18,"869",52.9,"226","0.171","0.308","0.244",27.6,30.5,24,"0.201","0.405","0.284",40.8
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-0.7,-5,"700",47.6,"217","0.302","0.45","0.369",15.7,9.7,14.3,"0.292","0.433","0.359",48.8
"Cease, Dylan",656302,"SD","SL","Slider",0.7,6,"808",47.3,"210","0.216","0.366","0.29",41.2,37.1,24.4,"0.205","0.352","0.27",35.9
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",-0.1,-1,"818",48,"206","0.249","0.411","0.323",14.3,17,17.7,"0.278","0.51","0.368",51.7
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",0.2,2,"892",50.3,"205","0.296","0.425","0.354",21.5,15.6,15.5,"0.302","0.49","0.376",47
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.6,4,"711",47.4,"205","0.261","0.462","0.356",16.9,11.2,14.9,"0.302","0.511","0.379",50.9
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",0.6,5,"735",48,"200","0.293","0.381","0.349",13.3,14,21.5,"0.271","0.396","0.326",48.4
"Valdez, Framber",664285,"HOU","SI","Sinker",1.5,11,"741",44.1,"198","0.258","0.337","0.302",11.3,8.1,18.8,"0.325","0.472","0.375",51.5
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1.4,11,"793",46.1,"197","0.176","0.335","0.264",26.6,25.9,17.6,"0.213","0.443","0.317",50.8
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",2.2,16,"731",62.6,"195","0.181","0.288","0.247",19.9,24.1,19.8,"0.251","0.384","0.311",41.5
"Bassitt, Chris",605135,"TOR","SI","Sinker",0.2,2,"695",41.6,"193","0.312","0.41","0.37",13.3,15,19.3,"0.298","0.432","0.354",41.7
"Sale, Chris",519242,"ATL","SL","Slider",2.2,16,"718",48.3,"191","0.153","0.22","0.198",40.1,42.9,26.6,"0.154","0.238","0.205",19.8
"Brown, Ben",676962,"CHC","FF","4-Seam Fastball",-0.7,-6,"774",57.9,"189","0.312","0.506","0.393",15.4,14.3,16,"0.306","0.601","0.414",50.3
"Bradley, Taj",671737,"TB","FF","4-Seam Fastball",-0.9,-6,"679",43.6,"188","0.296","0.503","0.411",16,12.2,15.1,"0.294","0.456","0.379",41.9
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.7,12,"725",48.6,"187","0.209","0.343","0.268",25.8,30.5,27.1,"0.248","0.459","0.332",51.3
